x,y,z
2.70017,1.13692,9e-06
2.70017,1.16301,6.5e-06
2.70017,1.18909,4e-06
2.70017,1.21518,9e-06
2.70017,1.24127,6.5e-06
2.70017,1.26735,5.66667e-06
2.70017,1.29344,9e-06
2.70017,1.31953,6.33333e-06
2.70017,1.34561,9e-06
2.70017,1.3717,2.06667e-05
2.70017,1.39779,5e-06
2.70017,1.42388,4.66667e-06
2.70017,1.44996,0.00491267
2.70017,1.47605,0.0371986
2.70017,1.50214,0.071138
2.70017,1.52822,0.182002
2.70017,1.55431,0.177763
2.70017,1.5804,0.264418
2.70017,1.60648,0.280998
2.70017,1.63257,0.243778
2.70017,1.65866,0.435197
2.70017,1.68475,0.480792
2.70017,1.71083,0.56501
2.70017,1.73692,0.181741
2.70017,1.76301,0.107387
2.70017,1.78909,0.098487
2.70017,1.81518,0.0263065
2.70017,1.84127,0.00393325
2.70017,1.86735,1e-06
2.70017,1.89344,0.00535183
2.70017,1.91953,2.86667e-05
2.70017,1.94561,2.86667e-05
2.70017,1.9717,3.8e-06
2.70017,1.99779,1e-05
2.70017,2.02388,7.5e-06
2.70017,2.04996,2.5e-06
2.70017,2.07605,4e-06
2.70017,2.10214,1e-06
2.70017,2.12822,1e-06
2.70017,2.15431,0.00974767
2.70017,2.1804,0.0291047
2.70017,2.20648,0.076729
2.70017,2.23257,0.079524
2.70017,2.25866,0.0204967
2.70017,2.28475,0.024025
2.70017,2.31083,0.0230223
2.70017,2.33692,0.001936
2.70017,2.36301,0.001642
2.72626,1.13692,9e-06
2.72626,1.16301,4e-06
2.72626,1.18909,4e-06
2.72626,1.21518,9e-06
2.72626,1.24127,6.5e-06
2.72626,1.26735,5.66667e-06
2.72626,1.29344,9e-06
2.72626,1.31953,9e-06
2.72626,1.34561,9e-06
2.72626,1.3717,2.06667e-05
2.72626,1.39779,5e-06
2.72626,1.42388,0.070225
2.72626,1.44996,0.202231
2.72626,1.47605,0.319666
2.72626,1.50214,0.361201
2.72626,1.52822,0.83617
2.72626,1.55431,0.514398
2.72626,1.5804,0.375769
2.72626,1.60648,0.5929
2.72626,1.63257,0.279792
2.72626,1.65866,0.518737
2.72626,1.68475,0.518737
2.72626,1.71083,0.161604
2.72626,1.73692,0.10769
2.72626,1.76301,0.016129
2.72626,1.78909,0.055709
2.72626,1.81518,0.029581
2.72626,1.84127,0.029581
2.72626,1.86735,0.00233
2.72626,1.89344,4e-06
2.72626,1.91953,2.5e-06
2.72626,1.94561,4.73333e-05
2.72626,1.9717,1.9e-05
2.72626,1.99779,2.5e-06
2.72626,2.02388,4.85e-05
2.72626,2.04996,1e-06
2.72626,2.07605,1e-06
2.72626,2.10214,1e-06
2.72626,2.12822,1e-06
2.72626,2.15431,1e-06
2.72626,2.1804,0.014161
2.72626,2.20648,0.014161
2.72626,2.23257,0.079524
2.72626,2.25866,0.0484
2.72626,2.28475,0.108241
2.72626,2.31083,0.108241
2.72626,2.33692,0.01
2.72626,2.36301,0.01
2.75235,1.13692,9e-06
2.75235,1.16301,9e-06
2.75235,1.18909,6.5e-06
2.75235,1.21518,4e-06
2.75235,1.24127,6.5e-06
2.75235,1.26735,4e-06
2.75235,1.29344,9e-06
2.75235,1.31953,1e-06
2.75235,1.34561,1e-06
2.75235,1.3717,0.10089
2.75235,1.39779,0.183184
2.75235,1.42388,0.263915
2.75235,1.44996,0.36397
2.75235,1.47605,0.742324
2.75235,1.50214,0.9801
2.75235,1.52822,0.9801
2.75235,1.55431,0.898181
2.75235,1.5804,0.898181
2.75235,1.60648,0.6724
2.75235,1.63257,0.261425
2.75235,1.65866,0.276952
2.75235,1.68475,0.717409
2.75235,1.71083,0.180005
2.75235,1.73692,0.125042
2.75235,1.76301,0.125042
2.75235,1.78909,0.065536
2.75235,1.81518,0.106026
2.75235,1.84127,0.114921
2.75235,1.86735,0.0361
2.75235,1.89344,0.103278
2.75235,1.91953,2.5e-06
2.75235,1.94561,0.015129
2.75235,1.9717,0.0001842
2.75235,1.99779,1.45e-05
2.75235,2.02388,6.5e-06
2.75235,2.04996,1e-06
2.75235,2.07605,1e-06
2.75235,2.10214,1e-06
